LocationID	Location	ParentLocationID	Latitude	Longitude
BFN17_Layer_6	BFN17_Layer_6	BFN17_Layers	0.000000	0.000000
BFN17_Layer_7	BFN17_Layer_7	BFN17_Layers	0.000000	0.000000
BFN17_Layer_8	BFN17_Layer_8	BFN17_Layers	0.000000	0.000000
BFN17_Layer_9	BFN17_Layer_9	BFN17_Layers	0.000000	0.000000
BFN17_Layers	BFN17 D3D profiles	BFN17_Layers	34.703691	-87.130883
BFN18_Layer_1	BFN18_Layer_1	BFN18_Layers	0.000000	0.000000
BFN18_Layer_10	BFN18_Layer_10	BFN18_Layers	0.000000	0.000000
BFN18_Layer_11	BFN18_Layer_11	BFN18_Layers	0.000000	0.000000
BFN18_Layer_12	BFN18_Layer_12	BFN18_Layers	0.000000	0.000000
BFN18_Layer_13	BFN18_Layer_13	BFN18_Layers	0.000000	0.000000
BFN18_Layer_14	BFN18_Layer_14	BFN18_Layers	0.000000	0.000000
BFN18_Layer_15	BFN18_Layer_15	BFN18_Layers	0.000000	0.000000
BFN18_Layer_16	BFN18_Layer_16	BFN18_Layers	0.000000	0.000000
BFN18_Layer_17	BFN18_Layer_17	BFN18_Layers	0.000000	0.000000
BFN18_Layer_18	BFN18_Layer_18	BFN18_Layers	0.000000	0.000000
BFN18_Layer_19	BFN18_Layer_19	BFN18_Layers	0.000000	0.000000
BFN18_Layer_2	BFN18_Layer_2	BFN18_Layers	0.000000	0.000000
BFN18_Layer_20	BFN18_Layer_20	BFN18_Layers	0.000000	0.000000
BFN18_Layer_21	BFN18_Layer_21	BFN18_Layers	0.000000	0.000000
BFN18_Layer_22	BFN18_Layer_22	BFN18_Layers	0.000000	0.000000
BFN18_Layer_23	BFN18_Layer_23	BFN18_Layers	0.000000	0.000000
BFN18_Layer_24	BFN18_Layer_24	BFN18_Layers	0.000000	0.000000
BFN18_Layer_25	BFN18_Layer_25	BFN18_Layers	0.000000	0.000000
BFN18_Layer_26	BFN18_Layer_26	BFN18_Layers	0.000000	0.000000
BFN18_Layer_27	BFN18_Layer_27	BFN18_Layers	0.000000	0.000000
BFN18_Layer_28	BFN18_Layer_28	BFN18_Layers	0.000000	0.000000
BFN18_Layer_29	BFN18_Layer_29	BFN18_Layers	0.000000	0.000000
